,LABEL_RRate,LABEL_ABPm,LABEL_SpO2,LABEL_Heartrate
Age,10,10,10,10
Heartrate,10,8,4,10
SpO2,8,2,10,6
ABPs,-8,8,6,10
ABPm,2,10,6,8
ABPd,0,6,-6,-4
RRate,10,8,-8,4
Temp,0,6,2,10
EtCO2,0,10,2,8
PTT,8,10,-4,2
BUN,4,8,-2,10
Lactate,2,0,8,8
Hgb,2,-10,0,2
HCO3,2,10,-4,-10
BaseExcess,8,2,4,-6
Fibrinogen,-2,4,-8,-8
Phosphate,4,10,4,0
WBC,-6,2,-4,-10
Creatinine,8,6,4,2
PaCO2,6,0,6,6
AST,-10,6,6,-2
FiO2,6,-6,2,6
Platelets,2,-8,0,-4
SaO2,0,10,-4,2
Glucose,8,0,-10,-10
Magnesium,4,-4,-10,-10
Potassium,0,6,2,6
Calcium,2,-2,4,4
Alkalinephos,-10,2,-4,-10
Bilirubin_direct,2,8,-10,8
Chloride,-8,2,-8,-8
Hct,-10,-4,-4,-6
Bilirubin_total,-10,-10,-10,-6
TroponinI,-10,10,-6,4
pH,-10,-8,-2,-10
Heartrate_n_extrema,-6,-10,-2,10
SpO2_n_extrema,4,-10,-2,0
ABPs_n_extrema,0,2,8,-2
ABPm_n_extrema,-2,6,-8,-10
ABPd_n_extrema,-10,-6,0,-6
RRate_n_extrema,-10,2,-10,-2
Temp_n_extrema,-10,-10,4,6
Heartrate_diff_mean,4,8,-6,8
SpO2_diff_mean,-2,-10,0,-10
ABPs_diff_mean,0,-2,-10,2
ABPm_diff_mean,-8,-2,-10,-8
ABPd_diff_mean,-10,-10,-10,-10
RRate_diff_mean,6,0,0,-6
Temp_diff_mean,2,10,4,-10
Heartrate_diff_median,2,0,-8,4
SpO2_diff_median,-10,-10,0,-10
ABPs_diff_median,-10,-10,-10,-10
ABPm_diff_median,-10,2,-10,-6
ABPd_diff_median,-10,-4,-10,-10
RRate_diff_median,-4,-2,-2,-10
Temp_diff_median,-10,-10,-10,-10
Heartrate_diff_max,0,-10,2,10
SpO2_diff_max,-10,-8,8,-8
ABPs_diff_max,-10,-8,-10,-10
ABPm_diff_max,-10,6,-10,-10
ABPd_diff_max,2,-8,-6,-10
RRate_diff_max,2,-8,-10,-10
Temp_diff_max,-10,-10,-10,-10
Heartrate_diff_min,-8,-10,-10,-10
SpO2_diff_min,-10,-10,-10,-10
ABPs_diff_min,-10,2,-10,-10
ABPm_diff_min,-10,-10,-10,-10
ABPd_diff_min,-10,-10,-10,-10
RRate_diff_min,-10,-10,-10,-10
Temp_diff_min,10,6,10,8
