,LABEL_BaseExcess,LABEL_Fibrinogen,LABEL_AST,LABEL_Alkalinephos,LABEL_Bilirubin_total,LABEL_Lactate,LABEL_TroponinI,LABEL_SaO2,LABEL_Bilirubin_direct,LABEL_EtCO2,LABEL_Sepsis
Age,True,False,False,True,True,True,True,True,False,True,False
Heartrate,True,False,True,True,True,True,True,True,False,False,True
SpO2,True,False,False,False,False,True,True,True,True,False,False
ABPs,False,True,True,True,True,False,True,True,True,False,False
ABPm,False,True,True,True,False,False,True,False,False,True,False
ABPd,True,True,True,True,True,True,False,False,False,False,True
RRate,False,True,True,True,True,True,True,True,True,False,True
Temp,True,True,True,True,True,False,False,False,False,False,True
EtCO2,True,False,True,True,True,True,True,True,True,True,True
PTT,True,True,False,False,False,True,False,True,False,True,True
BUN,True,True,True,True,True,False,True,True,False,False,True
Lactate,True,True,True,True,True,True,False,True,True,True,False
Hgb,True,False,True,True,True,False,True,False,False,False,False
HCO3,True,False,True,True,True,True,True,False,True,True,True
BaseExcess,True,False,True,True,True,False,False,True,True,True,False
Fibrinogen,False,True,True,False,False,False,False,False,True,True,True
Phosphate,True,True,True,False,True,True,False,True,False,False,False
WBC,True,True,False,False,False,False,False,True,False,True,True
Creatinine,False,True,False,False,False,False,True,False,True,False,False
PaCO2,False,True,False,False,False,False,True,False,False,True,False
AST,True,True,True,True,True,False,False,True,True,False,False
FiO2,True,True,True,True,True,True,False,True,False,False,True
Platelets,False,True,True,True,True,True,False,True,False,False,False
SaO2,True,False,False,False,False,False,True,True,True,True,True
Glucose,True,False,True,True,True,True,True,True,False,True,False
Magnesium,False,True,False,True,True,False,True,True,True,False,False
Potassium,False,False,True,True,True,False,True,False,True,False,True
Calcium,True,False,True,True,True,False,False,True,True,False,True
Alkalinephos,True,False,True,True,True,True,False,True,True,False,True
Bilirubin_direct,True,False,False,False,False,False,False,False,True,False,True
Chloride,False,True,True,True,True,False,False,True,False,False,True
Hct,True,True,False,False,False,False,True,False,False,False,False
Bilirubin_total,True,False,True,True,True,True,False,False,True,False,True
TroponinI,False,True,True,True,True,False,True,False,True,True,False
pH,False,False,False,False,False,False,True,False,False,True,True
