,LABEL_BaseExcess,LABEL_Fibrinogen,LABEL_AST,LABEL_Alkalinephos,LABEL_Bilirubin_total,LABEL_Lactate,LABEL_TroponinI,LABEL_SaO2,LABEL_Bilirubin_direct,LABEL_EtCO2,LABEL_Sepsis
Age,6,2,6,8,6,4,10,8,0,2,-10
Heartrate,-4,-2,10,10,10,6,2,2,-4,0,4
SpO2,6,0,4,6,4,8,-6,10,0,-6,0
ABPs,-10,-4,8,8,10,-4,4,6,4,-4,-2
ABPm,-8,8,8,8,4,-6,4,0,-4,4,2
ABPd,8,0,0,4,4,4,-6,2,2,-8,6
RRate,0,4,10,10,10,4,10,6,4,-4,10
Temp,10,0,6,8,2,-6,-4,0,-8,4,6
EtCO2,6,-6,6,2,4,10,8,8,8,10,10
PTT,10,10,2,4,2,10,4,10,-2,6,8
BUN,10,4,10,8,10,0,4,4,-2,-6,6
Lactate,6,10,8,10,10,10,-10,10,0,8,4
Hgb,4,-4,2,0,2,4,2,-4,-8,0,-2
HCO3,10,-4,8,8,10,4,10,-10,8,10,2
BaseExcess,10,-4,-4,-4,-4,6,-4,8,4,2,-4
Fibrinogen,-6,10,-2,-2,-6,0,0,0,2,10,0
Phosphate,6,8,-6,-8,0,0,-6,4,2,-8,2
WBC,8,6,-4,-4,0,-6,4,4,-8,-2,2
Creatinine,-4,2,-6,-4,-4,-6,6,8,0,-8,4
PaCO2,-10,4,-6,-6,-6,-10,2,-6,-4,-4,-10
AST,2,10,10,10,8,-4,-4,-2,4,4,-6
FiO2,10,8,0,0,-2,8,2,2,-2,6,10
Platelets,-8,2,-2,0,2,0,-6,-2,-6,-10,2
SaO2,8,-2,0,2,2,0,2,10,2,10,6
Glucose,10,-2,4,6,8,6,4,4,0,6,-4
Magnesium,4,8,0,2,2,-2,2,2,2,-2,-4
Potassium,-6,-2,6,6,6,-2,-4,-2,-6,-6,8
Calcium,10,-8,6,8,8,-2,-6,8,2,-2,10
Alkalinephos,2,0,-2,2,-2,4,-6,4,4,0,4
Bilirubin_direct,-4,0,4,4,4,-8,2,-6,10,4,2
Chloride,-10,0,2,4,4,-10,-10,4,-4,-10,0
Hct,8,6,-6,-4,-4,2,8,-4,-8,-10,-2
Bilirubin_total,-2,-2,8,8,8,-4,0,-4,8,-6,2
TroponinI,-2,-2,8,8,10,-2,10,-4,0,4,2
pH,-10,0,6,4,2,-4,-2,-2,-2,-4,-4
