,LABEL_RRate,LABEL_ABPm,LABEL_SpO2,LABEL_Heartrate
Age,True,True,True,True
Heartrate,False,True,False,True
SpO2,True,True,True,True
ABPs,True,True,False,True
ABPm,True,True,False,False
ABPd,False,True,True,False
RRate,True,False,False,True
Temp,True,False,False,True
EtCO2,True,True,True,True
PTT,False,True,False,False
BUN,False,True,True,True
Lactate,True,True,True,True
Hgb,True,True,False,True
HCO3,True,False,True,False
BaseExcess,True,False,True,True
Fibrinogen,False,True,False,True
Phosphate,True,True,False,True
WBC,True,True,False,False
Creatinine,True,True,False,True
PaCO2,False,False,True,False
AST,True,True,False,False
FiO2,True,True,True,True
Platelets,True,True,True,False
SaO2,True,True,False,True
Glucose,True,True,True,False
Magnesium,False,True,False,True
Potassium,True,True,True,True
Calcium,True,True,True,True
Alkalinephos,False,True,False,False
Bilirubin_direct,True,True,False,True
Chloride,False,True,True,False
Hct,True,True,False,False
Bilirubin_total,True,False,True,True
TroponinI,False,True,False,True
pH,False,True,True,False
