,LABEL_RRate,LABEL_ABPm,LABEL_SpO2,LABEL_Heartrate
Age,1,1,1,1
Heartrate,1,1,1,1
SpO2,-1,1,1,1
ABPs,-1,1,-1,1
ABPm,1,1,1,1
ABPd,1,1,-1,-1
RRate,1,1,1,-1
Temp,1,-1,-1,1
EtCO2,1,1,1,1
PTT,-1,1,1,-1
BUN,-1,1,-1,1
Lactate,-1,-1,-1,1
Hgb,-1,-1,-1,-1
HCO3,1,1,-1,-1
BaseExcess,1,1,-1,-1
Fibrinogen,-1,1,-1,1
Phosphate,1,1,1,1
WBC,1,-1,1,1
Creatinine,-1,1,1,-1
PaCO2,-1,1,1,-1
AST,-1,-1,-1,1
FiO2,1,1,1,1
Platelets,-1,-1,1,1
SaO2,1,1,1,1
Glucose,1,1,-1,-1
Magnesium,-1,-1,-1,-1
Potassium,1,1,-1,1
Calcium,1,1,1,1
Alkalinephos,-1,1,-1,-1
Bilirubin_direct,1,-1,-1,-1
Chloride,-1,1,-1,-1
Hct,-1,-1,1,-1
Bilirubin_total,-1,-1,1,-1
TroponinI,-1,1,-1,-1
pH,1,-1,-1,-1
Heartrate_n_extrema,-1,-1,-1,1
SpO2_n_extrema,1,-1,1,1
ABPs_n_extrema,-1,1,1,-1
ABPm_n_extrema,-1,1,-1,-1
ABPd_n_extrema,-1,-1,-1,-1
RRate_n_extrema,-1,-1,-1,1
Temp_n_extrema,-1,-1,1,-1
Heartrate_diff_mean,1,1,-1,1
SpO2_diff_mean,-1,-1,-1,-1
ABPs_diff_mean,1,-1,-1,1
ABPm_diff_mean,-1,-1,-1,-1
ABPd_diff_mean,-1,-1,-1,-1
RRate_diff_mean,1,-1,1,-1
Temp_diff_mean,-1,1,1,-1
Heartrate_diff_median,-1,1,-1,1
SpO2_diff_median,-1,-1,1,-1
ABPs_diff_median,-1,-1,-1,-1
ABPm_diff_median,-1,1,-1,-1
ABPd_diff_median,-1,-1,-1,-1
RRate_diff_median,-1,-1,-1,-1
Temp_diff_median,-1,-1,-1,-1
Heartrate_diff_max,1,-1,1,1
SpO2_diff_max,-1,1,1,-1
ABPs_diff_max,-1,-1,-1,-1
ABPm_diff_max,-1,1,-1,-1
ABPd_diff_max,-1,-1,-1,-1
RRate_diff_max,-1,-1,-1,-1
Temp_diff_max,-1,-1,-1,-1
Heartrate_diff_min,-1,-1,-1,-1
SpO2_diff_min,-1,-1,-1,-1
ABPs_diff_min,-1,1,-1,-1
ABPm_diff_min,-1,-1,-1,-1
ABPd_diff_min,-1,-1,-1,-1
RRate_diff_min,-1,-1,-1,-1
Temp_diff_min,1,1,1,1
