,LABEL_RRate,LABEL_ABPm,LABEL_SpO2,LABEL_Heartrate
Age,10,10,10,4
Heartrate,4,2,-4,10
SpO2,0,6,10,2
ABPs,8,10,2,10
ABPm,4,10,-4,8
ABPd,6,0,2,2
RRate,10,6,-4,6
Temp,6,0,2,10
EtCO2,4,8,10,8
PTT,4,10,0,-8
BUN,-6,4,-4,6
Lactate,2,4,2,8
Hgb,-6,0,-2,-4
HCO3,-2,4,8,0
BaseExcess,0,-6,-2,6
Fibrinogen,2,4,-6,2
Phosphate,4,10,-2,4
WBC,4,8,0,-2
Creatinine,10,2,4,0
PaCO2,0,-2,8,-2
AST,-8,10,-2,-6
FiO2,8,-2,2,10
Platelets,10,-4,2,-6
SaO2,6,10,8,4
Glucose,10,8,-2,4
Magnesium,6,0,-6,-4
Potassium,6,8,0,10
Calcium,8,2,8,8
Alkalinephos,-6,10,0,-6
Bilirubin_direct,6,6,-6,6
Chloride,4,10,8,0
Hct,2,0,6,2
Bilirubin_total,-2,-4,-4,4
TroponinI,0,10,4,8
pH,-4,4,2,2
