,LABEL_BaseExcess,LABEL_Fibrinogen,LABEL_AST,LABEL_Alkalinephos,LABEL_Bilirubin_total,LABEL_Lactate,LABEL_TroponinI,LABEL_SaO2,LABEL_Bilirubin_direct,LABEL_EtCO2,LABEL_Sepsis
Age,63,340,140,144,190,29,16,12,1,253,84
Heartrate1,142,248,12,11,13,281,359,251,274,370,243
Heartrate2,328,335,356,330,280,130,289,200,122,233,194
Heartrate3,168,82,45,56,48,275,184,353,114,211,292
Heartrate4,315,193,361,390,388,147,321,386,390,237,69
Heartrate5,394,323,209,214,199,72,132,250,321,227,230
Heartrate6,199,51,261,232,112,338,401,405,326,219,271
Heartrate7,352,400,2,2,2,360,266,206,13,341,3
Heartrate8,244,217,142,139,148,265,198,108,156,344,85
Heartrate9,105,228,347,373,342,83,241,375,396,294,145
Heartrate10,215,205,308,339,274,384,144,356,226,209,202
Heartrate11,73,176,83,79,75,64,237,91,234,114,7
Heartrate12,189,238,291,159,150,273,169,288,356,391,267
SpO21,316,148,106,239,122,363,65,328,135,14,33
SpO22,188,289,326,361,343,99,199,334,361,39,215
SpO23,311,214,193,150,198,218,236,218,299,304,356
SpO24,176,114,107,123,123,37,158,327,63,321,357
SpO25,95,149,348,284,397,165,334,289,251,356,402
SpO26,30,227,365,325,318,284,242,20,96,247,144
SpO27,72,250,84,78,62,364,239,92,123,292,8
SpO28,198,20,23,19,17,232,314,329,99,171,338
SpO29,131,175,259,346,306,82,1,362,291,177,231
SpO210,187,259,24,122,26,274,283,166,62,332,358
SpO211,255,409,82,83,76,222,98,26,402,404,176
SpO212,264,277,405,356,359,161,157,47,6,236,60
ABPs1,74,265,139,145,138,200,370,360,132,320,319
ABPs2,208,216,324,384,379,357,57,219,276,339,318
ABPs3,175,115,222,209,233,160,397,46,182,248,409
ABPs4,135,68,66,59,134,90,376,391,44,265,61
ABPs5,344,401,396,391,392,129,294,343,300,409,200
ABPs6,214,278,282,282,288,98,235,383,41,281,205
ABPs7,405,307,166,20,170,336,19,255,327,249,268
ABPs8,228,383,173,182,57,233,313,409,318,375,388
ABPs9,326,345,152,147,153,293,58,330,211,55,208
ABPs10,322,19,211,185,234,283,31,316,212,362,103
ABPs11,399,370,1,1,1,296,148,380,5,369,392
ABPs12,111,116,89,86,84,67,62,59,342,56,182
ABPm1,391,136,56,77,43,343,340,325,346,363,152
ABPm2,99,244,407,359,364,93,15,324,117,57,9
ABPm3,406,324,220,213,200,305,131,211,116,129,314
ABPm4,309,80,14,15,15,322,38,220,33,61,49
ABPm5,331,361,65,135,129,51,30,198,280,268,193
ABPm6,41,317,268,222,230,30,325,369,10,11,180
ABPm7,45,32,63,44,41,16,120,21,78,282,51
ABPm8,314,402,122,99,99,120,177,83,281,297,36
ABPm9,194,23,19,23,20,4,320,43,15,395,47
ABPm10,180,135,121,90,98,353,383,378,239,67,227
ABPm11,26,272,124,115,128,91,10,134,8,12,143
ABPm12,1,316,143,141,176,386,17,58,30,3,278
ABPd1,284,16,374,405,357,306,210,71,335,34,359
ABPd2,261,213,98,114,89,121,363,35,184,111,247
ABPd3,118,355,199,187,224,380,209,174,165,400,14
ABPd4,117,310,153,129,143,164,56,34,244,150,277
ABPd5,110,91,20,24,135,239,127,1,288,392,121
ABPd6,170,49,8,35,27,195,297,42,176,184,335
ABPd7,40,24,114,108,21,96,50,55,16,77,336
ABPd8,308,156,300,270,387,366,394,175,222,365,349
ABPd9,196,157,171,175,189,244,185,15,264,161,372
ABPd10,44,134,97,98,71,350,128,396,136,349,17
ABPd11,229,212,80,88,72,196,386,133,7,75,246
ABPd12,346,312,310,321,322,359,200,152,138,251,181
RRate1,116,73,319,320,326,301,201,151,333,76,88
RRate2,120,161,96,70,85,43,353,146,84,122,217
RRate3,295,352,155,172,144,299,258,260,32,52,31
RRate4,143,271,81,80,81,33,55,150,110,86,142
RRate5,217,223,248,220,294,352,263,271,77,329,226
RRate6,283,7,31,9,8,92,390,70,379,17,320
RRate7,336,320,123,130,133,84,2,168,231,5,172
RRate8,195,33,337,367,340,387,319,173,177,225,279
RRate9,62,95,317,279,245,295,111,82,279,88,160
RRate10,351,126,49,51,60,204,161,172,52,234,219
RRate11,179,218,265,288,261,276,302,120,115,245,116
RRate12,15,113,342,383,166,10,107,333,160,18,261
EtCO21,278,29,113,136,152,187,375,41,86,235,117
