,LABEL_BaseExcess,LABEL_Fibrinogen,LABEL_AST,LABEL_Alkalinephos,LABEL_Bilirubin_total,LABEL_Lactate,LABEL_TroponinI,LABEL_SaO2,LABEL_Bilirubin_direct,LABEL_EtCO2,LABEL_Sepsis
Age,17,11,5,5,6,20,4,7,1,34,26
Heartrate12,26,8,2,3,2,16,33,21,15,29,16
SpO212,8,23,7,7,7,27,7,12,12,17,35
ABPs12,35,7,32,31,27,14,34,23,35,16,34
ABPm12,23,25,35,35,34,25,27,28,33,11,13
ABPd12,13,28,23,18,24,28,9,19,34,7,22
RRate12,19,22,26,27,26,34,19,13,29,21,12
EtCO212,15,34,22,21,9,18,2,11,21,8,32
PTT12,9,31,13,13,18,26,11,4,4,32,18
BUN12,29,24,6,6,5,21,18,16,14,13,14
Lactate12,1,17,10,9,13,8,1,1,11,3,20
Temp12,24,5,18,19,19,6,22,9,10,6,7
Hgb12,5,9,34,34,35,5,3,10,28,4,6
HCO312,20,35,25,24,25,31,16,32,30,22,24
BaseExcess12,21,19,3,2,3,22,14,17,16,14,17
Fibrinogen12,22,32,15,16,16,35,13,30,8,33,21
Phosphate12,11,12,27,26,28,7,12,31,19,20,28
WBC12,6,30,33,33,33,12,15,18,17,2,19
Creatinine12,28,29,14,14,14,19,30,20,23,23,8
PaCO212,33,10,4,4,4,29,21,25,9,15,27
AST12,16,27,9,10,10,15,29,34,13,27,4
FiO212,30,1,19,20,20,33,24,26,3,35,29
Platelets12,4,16,20,23,21,1,17,2,18,18,30
SaO212,12,3,12,12,12,11,23,35,7,30,10
Glucose12,18,33,28,32,29,17,20,8,24,9,11
Magnesium12,2,20,21,22,22,3,10,5,22,12,9
Potassium12,34,2,11,11,11,10,35,15,6,5,5
Calcium12,14,15,30,28,31,13,28,27,20,26,15
Alkalinephos12,32,4,1,1,1,23,25,33,5,25,23
Bilirubin_direct12,25,6,24,25,23,30,31,22,27,28,33
Chloride12,7,14,31,30,32,9,5,14,26,31,3
Hct12,10,21,8,8,8,4,6,6,2,1,2
Bilirubin_total12,27,18,17,15,15,32,32,29,32,19,31
TroponinI12,31,26,29,29,30,24,26,24,31,24,25
pH12,3,13,16,17,17,2,8,3,25,10,1
