,LABEL_BaseExcess,LABEL_Fibrinogen,LABEL_AST,LABEL_Alkalinephos,LABEL_Bilirubin_total,LABEL_Lactate,LABEL_TroponinI,LABEL_SaO2,LABEL_Bilirubin_direct,LABEL_EtCO2,LABEL_Sepsis
Age,False,True,False,False,False,True,True,True,False,False,False
Heartrate,True,True,True,True,True,True,False,False,True,True,True
SpO2,False,False,True,False,True,False,True,True,False,True,False
ABPs,True,True,False,False,False,True,False,False,True,False,True
ABPm,True,False,False,False,True,True,True,True,True,False,False
ABPd,False,False,True,True,True,True,True,True,False,False,False
RRate,False,False,False,False,False,False,True,False,True,False,False
EtCO2,True,False,True,True,True,False,True,False,True,False,False
PTT,True,True,True,True,True,False,True,True,True,True,False
BUN,True,False,False,False,False,False,True,False,True,False,True
Lactate,True,True,True,True,True,True,True,True,False,True,True
Temp,True,False,True,True,True,True,True,True,False,False,False
Hgb,False,False,True,True,True,False,True,False,False,False,False
HCO3,True,False,True,True,True,True,True,False,True,False,False
BaseExcess,True,True,False,False,False,True,False,True,False,False,False
Fibrinogen,True,False,True,True,True,True,False,True,True,False,True
Phosphate,True,True,True,True,True,False,False,True,True,True,False
WBC,False,False,False,False,True,True,True,True,True,False,True
Creatinine,True,True,True,True,True,False,True,True,False,True,False
PaCO2,True,False,False,False,False,False,True,False,False,False,False
AST,True,False,True,False,True,True,True,True,True,True,False
FiO2,True,True,True,True,True,True,True,False,False,True,True
Platelets,True,False,False,False,False,False,True,True,False,False,False
SaO2,True,True,True,True,True,True,False,True,False,True,False
Glucose,True,True,True,True,False,False,True,True,False,False,True
Magnesium,True,True,True,True,True,True,True,True,True,True,True
Potassium,True,False,True,True,False,False,False,True,True,True,True
Calcium,True,True,False,False,False,True,False,True,False,True,False
Alkalinephos,True,False,True,True,True,True,False,True,True,False,False
Bilirubin_direct,True,True,False,False,False,True,True,False,False,True,True
Chloride,True,False,True,True,True,True,False,True,False,False,True
Hct,False,True,True,True,True,False,True,False,True,True,True
Bilirubin_total,False,False,True,True,True,True,False,True,True,False,False
TroponinI,True,False,True,True,True,True,True,True,False,True,False
pH,False,False,True,True,True,False,True,True,True,True,False
