,LABEL_BaseExcess,LABEL_Fibrinogen,LABEL_AST,LABEL_Alkalinephos,LABEL_Bilirubin_total,LABEL_Lactate,LABEL_TroponinI,LABEL_SaO2,LABEL_Bilirubin_direct,LABEL_EtCO2,LABEL_Sepsis
Age,True,False,True,True,False,True,True,True,False,False,False
Heartrate,False,False,True,True,True,False,False,True,True,False,False
SpO2,False,True,True,True,True,False,False,False,False,False,False
ABPs,False,False,False,False,False,False,False,False,False,True,False
ABPm,False,False,False,False,False,False,False,False,False,True,False
ABPd,False,True,False,False,True,False,False,False,True,False,False
RRate,False,False,True,True,True,True,True,False,False,False,True
Temp,True,True,True,True,False,True,False,True,False,False,False
EtCO2,True,False,True,True,True,True,True,False,True,True,True
PTT,True,True,True,True,True,True,True,True,True,False,True
BUN,True,True,True,True,True,False,False,False,False,False,True
Lactate,False,True,True,True,True,True,False,True,True,True,True
Hgb,False,True,True,True,True,False,False,False,True,False,False
HCO3,True,False,True,True,False,True,True,False,False,True,True
BaseExcess,True,False,False,False,False,True,True,True,True,True,False
Fibrinogen,True,True,True,True,True,True,False,False,True,True,False
Phosphate,True,True,True,True,True,True,False,False,True,False,True
WBC,True,True,True,True,True,False,False,False,False,False,False
Creatinine,False,True,True,False,True,False,True,False,True,False,True
PaCO2,False,False,False,False,True,False,True,True,True,False,False
AST,False,True,True,True,True,False,False,False,True,True,True
FiO2,True,True,True,True,True,True,True,False,True,False,True
Platelets,False,True,True,True,True,False,False,False,False,False,True
SaO2,True,False,False,False,False,False,True,True,True,True,False
Glucose,True,False,False,False,False,False,True,False,False,False,True
Magnesium,False,True,True,True,True,False,False,False,False,False,False
Potassium,False,True,True,True,True,False,True,False,False,False,True
Calcium,True,True,True,True,True,False,False,False,False,False,True
Alkalinephos,False,True,True,True,True,True,False,False,False,False,False
Bilirubin_direct,False,False,True,True,True,False,False,False,True,False,False
Chloride,False,False,True,True,True,False,False,False,True,False,False
Hct,False,True,False,False,False,False,False,False,False,False,False
Bilirubin_total,False,False,True,True,True,False,False,False,True,False,True
TroponinI,True,False,True,True,True,False,True,False,True,True,False
pH,False,False,True,True,True,False,False,False,True,False,False
