,LABEL_BaseExcess,LABEL_Fibrinogen,LABEL_AST,LABEL_Alkalinephos,LABEL_Bilirubin_total,LABEL_Lactate,LABEL_TroponinI,LABEL_SaO2,LABEL_Bilirubin_direct,LABEL_EtCO2,LABEL_Sepsis
Age,False,True,False,False,False,False,True,True,False,True,False
Heartrate,False,False,True,True,True,True,True,False,True,True,True
SpO2,True,False,True,True,True,True,False,True,False,False,True
ABPs,False,False,True,True,True,False,False,True,False,True,False
ABPm,False,True,True,True,True,True,False,True,False,True,True
ABPd,True,False,False,False,False,True,False,True,False,False,True
RRate,False,False,True,True,True,False,True,False,True,True,True
Temp,True,True,True,True,True,False,False,True,False,False,True
EtCO2,True,False,True,True,False,True,True,True,False,True,True
PTT,True,True,False,False,True,True,False,True,True,True,True
BUN,True,False,True,True,True,True,True,True,False,True,False
Lactate,True,True,True,True,True,True,False,True,False,True,True
Hgb,False,False,True,True,True,True,True,False,False,True,True
HCO3,True,True,True,True,True,False,True,False,False,True,False
BaseExcess,True,False,False,False,False,True,False,True,True,True,False
Fibrinogen,False,True,True,True,True,False,True,True,False,True,False
Phosphate,True,True,False,False,False,False,False,True,True,False,True
WBC,True,False,False,False,True,False,True,True,False,False,False
Creatinine,False,False,False,False,False,False,True,True,False,True,True
PaCO2,False,False,True,True,True,False,True,False,True,False,False
AST,False,True,True,True,True,True,False,False,True,True,True
FiO2,True,True,True,True,True,True,True,False,False,True,True
Platelets,False,False,True,True,True,False,False,False,False,False,False
SaO2,True,True,True,True,True,True,False,True,False,True,True
Glucose,True,False,False,False,True,True,True,False,False,True,True
Magnesium,False,True,False,False,False,False,True,False,False,True,False
Potassium,False,True,False,False,False,True,False,False,False,True,True
Calcium,True,False,True,True,True,False,True,True,False,True,True
Alkalinephos,False,True,False,False,False,True,False,True,True,False,False
Bilirubin_direct,False,False,True,True,True,False,True,False,True,True,True
Chloride,False,True,False,False,False,False,False,True,True,False,False
Hct,True,False,False,False,False,True,True,False,False,False,True
Bilirubin_total,False,True,True,True,True,True,False,True,False,False,True
TroponinI,False,False,True,True,True,False,True,False,True,True,False
pH,False,False,False,False,False,True,False,True,False,True,False
