,LABEL_BaseExcess,LABEL_Fibrinogen,LABEL_AST,LABEL_Alkalinephos,LABEL_Bilirubin_total,LABEL_Lactate,LABEL_TroponinI,LABEL_SaO2,LABEL_Bilirubin_direct,LABEL_EtCO2,LABEL_Sepsis
Age,10,10,10,10,10,10,10,10,10,10,10
Heartrate,0,-2,8,8,8,4,6,2,2,-2,2
SpO2,10,-2,0,0,-6,10,6,10,-8,-2,-2
ABPs,0,2,6,6,6,-2,2,-4,2,4,-4
ABPm,-8,-2,4,4,0,-4,2,-2,0,6,6
ABPd,6,-6,0,2,6,6,-4,8,6,-6,2
RRate,0,0,10,10,10,4,10,6,8,-6,6
Temp,10,4,6,4,2,-8,2,4,-2,4,-2
EtCO2,10,-4,2,4,4,10,8,8,10,10,8
PTT,10,10,6,4,6,10,2,10,0,2,10
BUN,6,2,10,10,8,6,0,8,-6,-4,6
Lactate,10,10,10,10,10,10,-4,10,-2,2,8
Hgb,6,0,0,0,4,0,2,0,-2,-2,0
HCO3,10,0,2,0,6,2,8,2,4,8,6
BaseExcess,10,0,-4,-4,0,8,-4,8,-2,2,2
Fibrinogen,-10,10,10,10,10,4,-8,-2,2,4,-4
Phosphate,8,-2,2,0,2,-4,0,6,0,0,6
WBC,6,6,-2,-6,-4,-10,2,2,-6,-4,0
Creatinine,6,6,2,2,0,-10,8,4,4,-10,2
PaCO2,-10,0,2,-2,0,-6,2,-2,-6,2,0
AST,-10,2,10,10,10,4,-6,4,-2,-2,-4
FiO2,10,8,0,0,-2,6,6,-2,-6,-2,8
Platelets,-10,2,-2,0,2,-2,-8,0,-2,-8,2
SaO2,10,-4,-6,-6,-2,0,0,10,-2,10,-2
Glucose,10,-6,0,2,2,0,8,8,-6,-2,4
Magnesium,-6,8,2,0,0,-2,4,2,-6,-6,-6
Potassium,-8,-4,0,2,4,-2,-4,-2,-8,-8,8
Calcium,10,-2,4,2,6,-2,-8,10,0,-8,10
Alkalinephos,-10,-10,4,10,4,-2,-4,0,-10,-8,-4
Bilirubin_direct,-10,4,10,10,10,-10,4,-10,10,0,2
Chloride,-10,0,2,6,6,-8,-8,0,4,-6,4
Hct,0,4,0,0,2,-8,4,-4,-2,-10,-4
Bilirubin_total,-10,0,10,10,10,-8,2,-10,6,-10,-2
TroponinI,-6,-10,8,10,6,-4,10,-10,4,2,2
pH,-10,-2,0,4,2,-6,-2,-2,-8,0,4
Heartrate_n_extrema,-10,-4,6,4,6,6,-4,2,2,2,-8
SpO2_n_extrema,2,-2,0,0,-4,-4,6,-2,2,2,2
ABPs_n_extrema,8,0,2,0,0,6,0,2,4,-6,6
ABPm_n_extrema,4,4,-4,-10,-8,2,-4,-2,-8,2,6
ABPd_n_extrema,2,-8,-8,-10,0,4,4,8,2,8,0
RRate_n_extrema,-10,-10,-2,-2,0,2,0,2,-6,4,4
Temp_n_extrema,-10,-4,0,-2,0,-4,-8,-10,-6,-4,-2
Heartrate_diff_mean,-10,-4,0,2,2,-10,4,-8,-10,-2,-4
SpO2_diff_mean,8,2,0,0,0,10,2,4,-2,0,0
ABPs_diff_mean,-10,-4,-8,-8,-6,-2,-6,-6,2,-6,-8
ABPm_diff_mean,-8,-6,-4,-2,0,2,-6,-6,-6,-10,-4
ABPd_diff_mean,-10,-4,-10,-10,-10,-8,-10,-8,-6,-6,-6
RRate_diff_mean,-10,-2,8,8,8,-8,2,-8,0,8,6
Temp_diff_mean,-10,2,10,10,10,-8,2,-8,10,8,4
Heartrate_diff_median,-10,-8,-10,-10,-10,-10,-8,-6,-6,-6,-8
SpO2_diff_median,-10,-10,-10,-10,-10,-10,-10,-8,0,2,-10
ABPs_diff_median,-10,-2,-8,-8,-10,-4,-8,-2,0,-2,6
ABPm_diff_median,-10,4,-6,-10,-4,-8,-8,-10,-8,-6,4
ABPd_diff_median,-10,4,2,-4,-2,-10,-10,-8,0,-10,-2
RRate_diff_median,-10,-2,-10,-10,-10,-10,-4,-2,4,-4,-2
Temp_diff_median,-10,10,-10,-10,-10,-10,-10,-10,-10,-10,-10
Heartrate_diff_max,-10,6,-4,-4,-6,-8,2,4,-6,4,-6
SpO2_diff_max,-10,0,-6,-2,-6,-4,-2,0,-2,-6,-2
ABPs_diff_max,-10,-10,-10,-10,-10,-8,2,0,-8,-8,-4
ABPm_diff_max,4,-6,-10,-10,-10,2,-10,-2,6,-6,-6
ABPd_diff_max,-4,-6,2,6,0,-2,-8,-8,-2,-6,-6
RRate_diff_max,-10,2,8,10,10,-8,0,-4,-2,-6,-2
Temp_diff_max,-10,-4,-10,-10,-10,-10,-10,-10,-10,-10,-8
Heartrate_diff_min,-10,0,-10,-10,-8,-10,-10,-10,-10,-8,-10
SpO2_diff_min,-10,-6,-10,-8,-8,-6,-10,-6,-8,-8,-10
ABPs_diff_min,-10,-10,-10,-10,-8,-8,-10,-10,-10,-10,-10
ABPm_diff_min,-10,-8,-10,-10,-10,-8,-10,-10,8,-8,-6
ABPd_diff_min,-10,-6,-8,-10,-6,-8,-8,-10,-8,-10,-8
RRate_diff_min,-10,-6,-8,-6,-8,-10,-8,-10,-4,-8,-8
Temp_diff_min,10,2,4,4,4,6,0,4,-4,4,-6
