,LABEL_RRate,LABEL_ABPm,LABEL_SpO2,LABEL_Heartrate
Age,True,True,True,False
Heartrate,True,False,False,False
SpO2,False,True,True,True
ABPs,True,False,False,True
ABPm,False,False,True,True
ABPd,True,True,False,True
RRate,False,True,False,True
EtCO2,False,False,True,False
PTT,True,True,False,True
BUN,True,False,False,True
Lactate,False,True,True,False
Temp,False,False,False,False
Hgb,True,False,True,True
HCO3,True,True,False,False
BaseExcess,False,False,True,False
Fibrinogen,True,False,False,True
Phosphate,False,False,True,False
WBC,True,True,True,True
Creatinine,False,True,True,True
PaCO2,False,True,True,False
AST,False,True,True,True
FiO2,False,False,False,True
Platelets,True,True,False,True
SaO2,False,False,True,True
Glucose,True,False,True,True
Magnesium,True,True,False,False
Potassium,False,False,False,False
Calcium,True,False,False,False
Alkalinephos,True,True,False,False
Bilirubin_direct,True,False,True,False
Chloride,True,True,True,False
Hct,True,True,True,True
Bilirubin_total,False,False,False,True
TroponinI,True,True,True,True
pH,False,False,False,False
