,LABEL_RRate,LABEL_ABPm,LABEL_SpO2,LABEL_Heartrate
Age,True,True,True,True
Heartrate,True,False,True,True
SpO2,True,True,True,True
ABPs,True,True,True,True
ABPm,False,True,False,True
ABPd,False,True,True,False
RRate,True,True,True,True
Temp,False,False,True,True
EtCO2,False,True,True,True
PTT,False,True,True,False
BUN,False,True,True,True
Lactate,False,False,True,True
Hgb,False,False,False,False
HCO3,True,True,True,True
BaseExcess,False,False,False,True
Fibrinogen,False,True,True,True
Phosphate,True,True,True,True
WBC,True,False,True,True
Creatinine,True,False,False,True
PaCO2,False,False,True,True
AST,False,True,False,False
FiO2,True,False,False,True
Platelets,True,False,True,False
SaO2,True,True,True,False
Glucose,True,True,False,False
Magnesium,True,False,True,True
Potassium,True,True,True,True
Calcium,True,True,True,True
Alkalinephos,False,True,False,False
Bilirubin_direct,True,True,False,True
Chloride,True,True,True,False
Hct,True,False,True,True
Bilirubin_total,False,False,False,True
TroponinI,False,True,True,False
pH,False,True,True,True
